거래처,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Z더원코리아,이월,2618000.0,3093200.0,2979900.0,1264450.0,1100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z더원코리아,매출,1674200.0,1305700.0,1264450.0,1100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z더원코리아,수금,1199000.0,1419000.0,2979900.0,1264450.0,1100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z더원코리아,잔액,3093200.0,2979900.0,1264450.0,1100000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티2공장,이월,338800.0,349800.0,396000.0,528000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티2공장,매출,349800.0,396000.0,528000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티2공장,수금,338800.0,349800.0,396000.0,528000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티2공장,잔액,349800.0,396000.0,528000.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티3공장,이월,726000.0,935000.0,647900.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티3공장,매출,935000.0,647900.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티3공장,수금,726000.0,935000.0,647900.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z비엘티3공장,잔액,935000.0,647900.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z에스엘지(인천),이월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z에스엘지(인천),매출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z에스엘지(인천),수금,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Z에스엘지(인천),잔액,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(DM특장),이월,88000.0,0.0,0.0,0.0,82500.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(DM특장),매출,0.0,0.0,0.0,82500.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(DM특장),수금,88000.0,0.0,0.0,0.0,82500.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(DM특장),잔액,0.0,0.0,0.0,82500.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(대창),이월,330000.0,330000.0,330000.0,330000.0,0.0,330000.0,330000.0,330000,0.0,0.0,0.0,0.0
가스코아산(대창),매출,330000.0,330000.0,330000.0,0.0,330000.0,330000.0,330000.0,330000,0.0,0.0,0.0,0.0
가스코아산(대창),수금,330000.0,330000.0,330000.0,330000.0,0.0,330000.0,330000.0,330000,0.0,0.0,0.0,0.0
가스코아산(대창),잔액,330000.0,330000.0,330000.0,0.0,330000.0,330000.0,330000.0,330000,0.0,0.0,0.0,0.0
가스코아산(몰드스틸),이월,726000.0,616000.0,367400.0,132000.0,748000.0,66000.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(몰드스틸),매출,616000.0,367400.0,132000.0,748000.0,66000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(몰드스틸),수금,726000.0,616000.0,367400.0,132000.0,748000.0,66000.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(몰드스틸),잔액,616000.0,367400.0,132000.0,748000.0,66000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(아래스가스),이월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045000,0.0,0.0,0.0,0.0
가스코아산(아래스가스),매출,0.0,0.0,0.0,0.0,0.0,0.0,1045000.0,0,0.0,0.0,0.0,0.0
가스코아산(아래스가스),수금,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045000,0.0,0.0,0.0,0.0
가스코아산(아래스가스),잔액,0.0,0.0,0.0,0.0,0.0,0.0,1045000.0,0,0.0,0.0,0.0,0.0
가스코아산(아론),이월,2038300.0,1236400.0,181500.0,497200.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(아론),매출,1236400.0,181500.0,497200.0,0.0,0.0,0.0,0.0,60500,0.0,0.0,0.0,0.0
가스코아산(아론),수금,2038300.0,1236400.0,181500.0,497200.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
가스코아산(아론),잔액,1236400.0,181500.0,497200.0,0.0,0.0,0.0,0.0,60500,0.0,0.0,0.0,0.0
가스코아산(에스에프에이),이월,286000.0,407000.0,803000.0,473000.0,132000.0,14300.0,242000.0,-88000,0.0,0.0,0.0,0.0
가스코아산(에스에프에이),매출,407000.0,803000.0,473000.0,132000.0,14300.0,242000.0,-88000.0,14300,0.0,0.0,0.0,0.0
가스코아산(에스에프에이),수금,286000.0,407000.0,803000.0,473000.0,132000.0,14300.0,242000.0,-88000,0.0,0.0,0.0,0.0
가스코아산(에스에프에이),잔액,407000.0,803000.0,473000.0,132000.0,14300.0,242000.0,-88000.0,14300,0.0,0.0,0.0,0.0
가스코아산(폴라리스AI파마),이월,0.0,0.0,0.0,0.0,264000.0,0.0,264000.0,0,0.0,0.0,0.0,0.0
가스코아산(폴라리스AI파마),매출,0.0,0.0,0.0,264000.0,0.0,264000.0,0.0,264000,0.0,0.0,0.0,0.0
가스코아산(폴라리스AI파마),수금,0.0,0.0,0.0,0.0,264000.0,0.0,264000.0,0,0.0,0.0,0.0,0.0
가스코아산(폴라리스AI파마),잔액,0.0,0.0,0.0,264000.0,0.0,264000.0,0.0,264000,0.0,0.0,0.0,0.0
가스코아산(하나이엔지),이월,783200.0,622600.0,602800.0,501600.0,281600.0,127600.0,1249600.0,844800,0.0,0.0,0.0,0.0
가스코아산(하나이엔지),매출,622600.0,602800.0,501600.0,281600.0,127600.0,1249600.0,844800.0,435600,0.0,0.0,0.0,0.0
가스코아산(하나이엔지),수금,783200.0,622600.0,602800.0,501600.0,281600.0,127600.0,1249600.0,844800,0.0,0.0,0.0,0.0
