"품목,거래처(사용처)/보관장소,사용구분,일련(제조)번호,저장부피(L),저장무게(kg),설계압력(MPa),제조년월"
"N2,경민산업,거래처 사용중,GICO-2023-080,6800,4945,3.3,2023-11"
"N2,동주산업,거래처 사용중,CS-13CE-107,6801,4946,3.2,2013-09"
"N2,두산판금,거래처 사용중,GICO-2020-079,6800,4945,3.3,2021-03"
"N2,두영에스티,거래처 사용중,GICO-2021-046,6800,4944,3.3,2021-08"
"N2,드림레이저,거래처 사용중,CS-13CE-114,6801,4946,3.2,2013-10"
"N2,드림맥,거래처 사용중,GICO-2025-014,6800,4946,3.3,2025-04"
"N2,명성코리아테크놀러지,거래처 사용중,GICO-2022-018,6800,4944,3.3,2022-03"
"N2,모베이스전자,거래처 사용중,SFC-96051,30000,21816,1.18,1996-03"
"N2,보성엔지니어링(구.신세계),거래처 사용중,G11010CE01,6799,4944,3.2,2011-03"
"N2,부경가스텍,거래처 사용중,HJ-03CE-003,6800,4945,1,2003-04"
"N2,부경가스텍,거래처 사용중,HJ-03CE-005,6800,4945,1,2003-07"
"N2,비엘티(구.에스앤케이),거래처 사용중,GICO-2024-062,6800,4945,1,2024-08"
"N2,승우산업,거래처 사용중,BY-C-08-047,6729,4893,3.2,2008-07"
"N2,신일가스 화성,유휴 장비,HJ-07CE-051,6799,4944,3.3,2007-03"
"N2,신일가스(본사),거래처 사용중,DM-18CE-036,6800,4945,3.24,2019-01"
"N2,씨에스가스텍,거래처 사용중,DW-16CE-139,6798,4944,3.14,2016-05"
"N2,에스앤케이.,거래처 사용중,SCE-10-009,6800,4944,1,2010-12"
"N2,엠에스동민특수가스,거래처 사용중,GICO-2020-055,6800,4945,1,2021-01"
"N2,엠에스동민특수가스,거래처 사용중,GICO-2020-066,6800,4945,1,2020-09"
"N2,영신방재,거래처 사용중,GICO-2022-072,6800,4945,3.3,2022-10"
"N2,영신에프엔씨,거래처 사용중,GICO-2016-050,6800,4944,3.3,2016-05"
"N2,예성이엔지(아산),거래처 사용중,GICO-2024-061,6800,4945,1,2024-08"
"N2,유엔씨테크,거래처 사용중,DM-19CE-015,6163,4482,3.24,2019-05"
"N2,일광잉크페인트,거래처 사용중,HJZ-CE-050,6799,4944,1.76,2016-12"
"N2,지앤티테크,거래처 사용중,US-12CE-112,6801,4946,3.2,2012-09"
"N2,지엠레이저,거래처 사용중,GICO-2024-060,6800,4945,3.3,2024-08"
"N2,태광기업,거래처 사용중,US-13CE-042,6801,4946,3.2,2013-05"
"N2,태성레이저(벌크),거래처 사용중,GICO-2023-046,6800,4945,3.3,2023-10"
"N2,포엠주식회사,거래처 사용중,HJ-06CE-175,6799,4944,3.3,2006-09"
"N2,하이레이저,거래처 사용중,GICO-2021-010,6800,4945,3.3,2021-03"
"N2,하이레이저(안성),거래처 사용중,GICO-2024-067,6800,4946,3.3,2024-08"
"N2,현대연구소(마북),거래처 사용중,DW-05CE-005,4851,3528,1,2005-03"
"N2,화성신일가스,충전장,HJ-2K-093,12998,9452,0.98,2000-10"
"CO2,가스텍(인천),거래처 사용중,BY-S-05-048,5291,4909,2.3,2005-11"
"CO2,가스텍(인천),거래처 사용중,GICO-2019-026,21015,19500,2.3,2019-07"
"CO2,가스텍(인천),거래처 사용중,GS97-014,5330,4945,2.26,1997-03"
"CO2,고려대한가스,거래처 사용중,GICO-2019-075,5312,4929,2.3,2021-06"
"CO2,대흥정공.,거래처 사용중,GICO-2021-029,5312,4929,2.3,2021-08"
"CO2,모소디엔엠(구.한성포장),거래처 사용중,GICO-2021-002,32300,29971,2.3,2021-06"
"CO2,유한에프앤디(구.유한산업),거래처 사용중,GICO-2021-047,32300,29971,2.3,2021-09"
"CO2,지윤주식회사,거래처 사용중,DW-13CO-233,5291,4909,2.3,2013-07"
"CO2,태성EPS,거래처 사용중,BY-S-04-059,53925,50037,2.3,2004-07"
"CO2,테크린주식회사,거래처 사용중,GICO-2021-022,32300,33140,2.3,2022-02"
"CO2,한울티엘,거래처 사용중,DW-08CO-147,21570,20014,2.3,2008-08"
"CO2,한울티엘,거래처 사용중,GICO-2008-102,32362,30028,2.3,2008-10"
"CO2,화성신일가스,충전장,BY-S-14-018,21570,20015,2.3,2014-03"
"CO2,화성신일가스,유휴 장비,GICO-2019-043,10775,9998,2.3,2019-09"
"AR,대흥정공.,거래처 사용중,US-08CE-095,3967,5005,1,2008-12"
"AR,라쿨 주식회사(구.신정우),거래처 사용중,HJ-07CE-015,2500,3155,1.76,2007-09"
"AR,비엘티(구.에스앤케이),거래처 사용중,GICO-2024-063,3900,4921,1.76,2024-08"
"AR,에스앤케이.,거래처 사용중,DW-16CE-084,3889,4907,1.76,2016-09"
"AR,케이디피주식회사(구.한국다이아몬드),거래처 사용중,US-12CE-171,3899,4913,1.76,2012-08"
"AR,한국메티슨특수가스,거래처 사용중,GICO-2022-093,3900,4921,1.76,2023-02"
"AR,화성신일가스,충전장,JE02,9446,11919,0.93,1991-06"
"O2,공도.,거래처 사용중,DW-12CE-068,4851,4986,2.95,2012-02"
"O2,부성스틸,거래처 사용중,US-11CE-100,4850,4976,1.76,2011-09"
"O2,신일가스(본사),거래처 사용안함,CT-13-CE20M-073,19490,19996,1.73,2014-02"
"O2,신흥이엔지,거래처 사용중,GICO-2018-078,4850,4976,1,2019-08"
"O2,엔케이철강,거래처 사용중,US-10CE-193,4850,4976,1.76,2011-02"
"O2,제이와이스틸,거래처 사용중,BY-C-16-002,4776,4900,2.5,2016-02"
"O2,화성신일가스,충전장,GICO-2011-008,19490,19997,1,2011-04"
"LPG,공도.,거래처 사용중,HJTNI-S-11-1175,2298,1053,1.77,2012-02"
