영업담당자,거래처,매출일,품목명,입고량,출고량,단가,매출액
담당자없음,Z가스코아산(파라텍3),01/03,Ar (일반),3,0,"15,000",0
담당자없음,Z가스코아산(파라텍3),01/03,"Ar (LGC, 175L)",2,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),01/03,"N2 (LGC, 175L)",2,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),01/03,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),01/04,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍3),01/04,"N2 (LGC, 175L)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),01/04,"N2 (LGC, 175L, 고압용)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),01/06,"Ar (일반, 10.2L)",2,2,"5,250","10,500"
담당자없음,Z가스코아산(파라텍3),01/06,"Ar (LGC, 175L)",0,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),01/06,"N2 (LGC, 175L)",3,4,"50,400","201,600"
담당자없음,Z가스코아산(파라텍3),01/06,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍3),01/09,C2H2 (3kg),1,1,"35,000","35,000"
담당자없음,Z가스코아산(파라텍3),01/09,"O2 (공업용, 40L)",2,1,"4,830","4,830"
담당자없음,Z가스코아산(파라텍3),01/11,Ar (일반),4,4,"15,000","60,000"
담당자없음,Z가스코아산(파라텍3),01/11,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍3),01/11,"N2 (LGC, 175L)",4,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),01/11,"N2 (LGC, 175L, 고압용)",2,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),01/17,"N2 (LGC, 175L)",1,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍3),01/17,"N2 (LGC, 175L, 고압용)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍3),01/25,입금 (가스매출),0,0,0,0
