거래처,가스,,,용기검사,,거래처명 :,매출일,,품목명,,,,입고량,,출고량,단가,매출액,세액,합계액,입금액,미수금,잔액,비고,신일가스(주) 화성공장,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Z대유스틸,,,,,,,,,[이월미수액],,,,,,,,,,,,"220,525","220,525",,,,
,,,,,,거래처별 합계,,,,,,0,,,0,,0,0,0,0,,"220,525",,,,
가스코아산(대창),,,,,,,,,[이월미수액],,,,,,,,,,,,"330,000","330,000",,,,
가스코아산(대창),,,,,,,09/16,,"Ar (UHP, 47L, 99.999%)",,,,8,,10,"30,000","300,000","30,000","330,000",0,,"330,000",,,,
,,,,,,거래처별 합계,,,,,,8,,,10,,"300,000","30,000","330,000",0,,"660,000",,,,
가스코아산(몰드스틸),,,,,,,09/14,,LPG (50kg),,,,1,,2,"100,000","200,000","20,000","220,000",0,,"220,000",,,,
가스코아산(몰드스틸),,,,,,,09/14,,"O2 (LGC, 175L, 고압용)",,,,3,,2,"60,000","120,000","12,000","132,000",0,,"132,000",,,,
,,,,,,거래처별 합계,,,,,,4,,,4,,"320,000","32,000","352,000",0,,"352,000",,,,
가스코아산(아론),,,,,,,,,[이월미수액],,,,,,,,,,,,"60,500","60,500",,,,
,,,,,,거래처별 합계,,,,,,0,,,0,,0,0,0,0,,"60,500",,,,
가스코아산(에스에프에이),,,,,,,,,[이월미수액],,,,,,,,,,,,"14,300","14,300",,,,
,,,,,,거래처별 합계,,,,,,0,,,0,,0,0,0,0,,"14,300",,,,
가스코아산(폴라리스AI파마),,,,,,,,,[이월미수액],,,,,,,,,,,,"264,000","264,000",,,,
,,,,,,거래처별 합계,,,,,,0,,,0,,0,0,0,0,,"264,000",,,,
가스코아산(하나이엔지),,,,,,,,,[이월미수액],,,,,,,,,,,,"435,600","435,600",,,,
가스코아산(하나이엔지),,,,,,,09/01,,"CO2 (공업용, 20kg)",,,,2,,2,"20,000","40,000","4,000","44,000",0,,"44,000",,,,
가스코아산(하나이엔지),,,,,,,09/01,,"CO2 (공업용, 40kg)",,,,5,,5,"40,000","200,000","20,000","220,000",0,,"220,000",,,,
가스코아산(하나이엔지),,,,,,,09/01,,"O2 (공업용, 40L)",,,,2,,2,"12,000","24,000","2,400","26,400",0,,"26,400",,,,
가스코아산(하나이엔지),,,,,,,09/08,,"CO2 (공업용, 40kg)",,,,4,,4,"40,000","160,000","16,000","176,000",0,,"176,000",,,,
가스코아산(하나이엔지),,,,,,,09/08,,"O2 (공업용, 40L)",,,,4,,4,"12,000","48,000","4,800","52,800",0,,"52,800",,,,
가스코아산(하나이엔지),,,,,,,09/15,,"CO2 (공업용, 20kg)",,,,1,,2,"20,000","40,000","4,000","44,000",0,,"44,000",,,,
가스코아산(하나이엔지),,,,,,,09/15,,"CO2 (공업용, 40kg)",,,,1,,1,"40,000","40,000","4,000","44,000",0,,"44,000",,,,
가스코아산(하나이엔지),,,,,,,09/15,,"O2 (공업용, 40L)",,,,4,,3,"12,000","36,000","3,600","39,600",0,,"39,600",,,,
,,,,,,거래처별 합계,,,,,,23,,,23,,"588,000","58,800","646,800",0,,"1,082,400",,,,
