"지사,일련(제조)번호,품목,형식,저장부피(L),저장무게(kg),설계압력(MPa),제조년월,사용구분"
"[광주],BY-C-09-013,,입형,19398,,2.5,2009-04,유휴 장비"
"[광주],GICO-2004-040,O2,입형,4776,4900,0.98,2004-06,유휴 장비"
"[광주],HJ-2K-126,,입형,9995,,0.98,2001-02,유휴 장비"
"[광주],HJC-S-02-103,LPG,입형,5980,2399,1.8,2002-03,유휴 장비"
"[광주],KM02,,입형,4980,,1.03,1992-03,유휴 장비"
"[광주],SAE-S-01-037,LPG,횡형,35310,14999,1.764,2001-04,유휴 장비"
"[광주],SFC-96053,,입형,5400,3926,1.03,1996-11,유휴 장비"
"[광주],SIK-S-97-112,CO2,횡형,26926,24985,2.254,1998-02,유휴 장비"
"[광주],VT-6 MC-1768,N2,입형,6000,4363,1.73,2002-02,유휴 장비"
"[목포],BY-C-06-046,O2,입형,4776,4900,1,2006-07,유휴 장비"
"[목포],BY-S-06-095,CO2,횡형,10680,9910,2.3,2007-04,유휴 장비"
"[목포],CT-2.9T-0009,LPG,입형,6821,2900,1.77,2008-03,유휴 장비"
"[목포],RR01,O2,입형,4800,4925,1,1997-05,유휴 장비"
"[목포],US-10CE-136,O2,입형,4850,4976,1,2010-11,유휴 장비"
"[아산],DW-15CE-019,N2,입형,18500,13453,1.1,2015-06,유휴 장비"
"[아산],DW-15CE-068,Ar,입형,3889,4907,1.1,2015-06,거래처 사용중"
"[아산],HJC-S-01-056,LPG,입형,6972,3194,2.94,2001-03,유휴 장비"
"[울산],1645,Ar,입형,2300,2900,2.4,1997-01,유휴 장비"
"[울산],BLK2.9T(V)-438,LPG,입형,6794,2900,1.8,2008-05,유휴 장비"
"[울산],BLK2T(V)-373,LPG,입형,4737,2000,1.8,2008-12,유휴 장비"
"[울산],DA-ST-HP-1459,O2,입형,4980,5110,1,1988-07,유휴 장비"
"[울산],DCE-14-036,N2,입형,6800,4900,3.2,2014-11,유휴 장비"
"[울산],DW-05CE-015,Ar,입형,4851,6100,1,2005-03,유휴 장비"
"[울산],DW-05CE-069,C2H4,입형,9517,4900,1,2005-11,유휴 장비"
"[울산],DW-07CE-214,O2,입형,15000,15390,1,2008-08,유휴 장비"
"[울산],DW-08CL-151,C2H4,입형,19491,10000,1,2008-08,유휴 장비"
"[울산],N107T-3181,Ar,입형,1215,1500,1.76,1957-02,유휴 장비"
"[울산],TM500-A1031,Ar,입형,2900,3650,1.76,1980-01,유휴 장비"
"[화성],GICO-2019-043,CO2,입형,10775,9998,2.3,2019-09,유휴 장비"
"[화성],HJ-07CE-051,N2,입형,6799,4944,3.3,2007-03,유휴 장비"
"[화성],US-08CE-095,Ar,입형,3967,5005,1,2008-12,거래처 사용중"
