"지사,일련(제조)번호,기화형식,기화용량,단위,설계압력(MPa),제조년월,사용구분"
"[광주],2002-VN-0079,온수식,150,kg/hr,1.8,2002-01,유휴 장비"
"[광주],2002-VN-0080,온수식,150,kg/hr,1.8,2002-01,유휴 장비"
"[광주],BY-V-04-060,온수식,1000,kg/hr,2.3,2004-07,유휴 장비"
"[광주],DE-2514,대기식,1000,Nm3/hr,1.96,2014-02,유휴 장비"
"[광주],FG-10-177,대기식,300,Nm3/hr,2,2010-08,유휴 장비"
"[광주],FG-11-050,대기식,150,Nm3/hr,2,2011-04,유휴 장비"
"[광주],FG-12-104,대기식,500,Nm3/hr,2,2012-03,유휴 장비"
"[광주],IGS-09-217,대기식,600,Nm3/hr,2,2009-06,유휴 장비"
"[광주],SO-07-604,대기식,150,Nm3/hr,2,2007-11,유휴 장비"
"[광주],TW-16-150,대기식,500,Nm3/hr,2,2016-11,유휴 장비"
"[광주],US-06-030,대기식,200,Nm3/hr,2,2006-02,유휴 장비"
"[광주],US-07-236,대기식,1500,Nm3/hr,2,2007-04,유휴 장비"
"[광주],US-08-073,대기식,1000,Nm3/hr,2,2008-05,유휴 장비"
"[광주],US-08-250,대기식,750,Nm3/hr,2,2012-06,유휴 장비"
"[목포],B080095,온수식,200,kg/hr,1.77,2008-03,유휴 장비"
"[목포],B080096,온수식,200,kg/hr,1.77,2008-03,유휴 장비"
"[목포],BY-V-06-091,온수식,500,kg/hr,2.3,2006-10,유휴 장비"
"[목포],US-08-251,대기식,200,Nm3/hr,3,2009-02,유휴 장비"
"[아산],2001-VN-0297,온수식,200,kg/hr,1.76,2011-08,거래처 사용중"
"[아산],2001-VN-0298,온수식,200,kg/hr,1.76,2011-08,거래처 사용중"
"[아산],BS-6127,대기식,60,Nm3/hr,3,2009-12,유휴 장비"
"[아산],BY-V-05-008,온수식,300,Nm3/hr,2.3,2005-08,유휴 장비"
"[아산],JEVS-100,대기식,100,kg/hr,1.8,2019-06,유휴 장비"
"[아산],TC-11A-145,대기식,300,Nm3/hr,15,2011-06,유휴 장비"
"[아산],TC-13A-001,대기식,1000,Nm3/hr,2.5,2013-01,유휴 장비"
"[아산],TC-13A-002,대기식,1000,Nm3/hr,2,2013-01,유휴 장비"
"[아산],TC-13A-005,대기식,1000,Nm3/hr,2.5,2013-01,유휴 장비"
"[아산],TC-15A-075,대기식,100,Nm3/hr,2,2015-04,거래처 사용중"
"[아산],TC-15A-188,대기식,100,Nm3/hr,2,2015-09,거래처 사용중"
"[아산],TC-16A-117,대기식,100,Nm3/hr,2.9,2016-05,거래처 사용중"
"[울산],08110707,온수식,100,kg/hr,1.8,2008-12,유휴 장비"
"[울산],08110709,온수식,100,kg/hr,1.8,2008-12,유휴 장비"
"[울산],2007-VN-0839,온수식,200,kg/hr,1.8,2008-12,유휴 장비"
"[울산],DS-08-593,대기식,500,Nm3/hr,2,2008-08,유휴 장비"
"[울산],DS-08-595,대기식,500,Nm3/hr,2,2008-08,유휴 장비"
"[울산],DS-08-596,대기식,500,Nm3/hr,2,2008-08,유휴 장비"
