거래처,가스,,,용기검사,,거래처명 :,매출일,,품목명,,,,입고량,,출고량,단가,매출액,세액,합계액,입금액,미수금,잔액,비고,신일가스(주) 화성공장,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Z가스코아산(아론),,,,,,,,,[이월미수액],,,,,,,,,,,,"2,038,300","2,038,300",,,,
Z가스코아산(아론),,,,,,,01/08,,"N2 (LGC, 175L)",,,,2,,1,"55,000","55,000","5,500","60,500",0,,"60,500",,,,
Z가스코아산(아론),,,,,,,01/08,,"N2 (LGC, 175L, 고압용)",,,,2,,3,"55,000","165,000","16,500","181,500",0,,"181,500",,,,
Z가스코아산(아론),,,,,,,01/08,,"O2 (LGC, 175L) ",,,,1,,3,"57,000","171,000","17,100","188,100",0,,"188,100",,,,
Z가스코아산(아론),,,,,,,01/08,,"O2 (LGC, 175L, 고압용)",,,,5,,3,"57,000","171,000","17,100","188,100",0,,"188,100",,,,
Z가스코아산(아론),,,,,,,01/12,,입금 (가스매출),,,,0,,0,0,0,0,0,"2,038,300",,"-2,038,300",,,,
Z가스코아산(아론),,,,,,,01/14,,기화기 (40Nm3/Hr),,,,1,,0,0,0,0,0,0,,0,,,,
Z가스코아산(아론),,,,,,,01/14,,"N2 (LGC, 175L)",,,,2,,1,"55,000","55,000","5,500","60,500",0,,"60,500",,,,
Z가스코아산(아론),,,,,,,01/14,,"N2 (LGC, 175L, 고압용)",,,,3,,3,"55,000","165,000","16,500","181,500",0,,"181,500",,,,
Z가스코아산(아론),,,,,,,01/14,,"O2 (LGC, 175L) ",,,,3,,2,"57,000","114,000","11,400","125,400",0,,"125,400",,,,
Z가스코아산(아론),,,,,,,01/14,,"O2 (LGC, 175L, 고압용)",,,,3,,4,"57,000","228,000","22,800","250,800",0,,"250,800",,,,
Z가스코아산(아론),,,,,,,02/12,,입금 (가스매출),,,,0,,0,0,0,0,0,"1,236,400",,"-1,236,400",,,,
Z가스코아산(아론),,,,,,,02/24,,"N2 (LGC, 175L)",,,,1,,0,"55,000",0,0,0,0,,0,,,,
Z가스코아산(아론),,,,,,,02/24,,"N2 (LGC, 175L, 고압용)",,,,5,,3,"55,000","165,000","16,500","181,500",0,,"181,500",,,,
Z가스코아산(아론),,,,,,,02/24,,"O2 (LGC, 175L) ",,,,4,,0,"57,000",0,0,0,0,,0,,,,
Z가스코아산(아론),,,,,,,02/24,,"O2 (LGC, 175L, 고압용)",,,,4,,0,"57,000",0,0,0,0,,0,,,,
Z가스코아산(아론),,,,,,,03/10,,"N2 (LGC, 175L)",,,,0,,2,"55,000","110,000","11,000","121,000",0,,"121,000",,,,
Z가스코아산(아론),,,,,,,03/10,,"O2 (LGC, 175L) ",,,,0,,3,"57,000","171,000","17,100","188,100",0,,"188,100",,,,
Z가스코아산(아론),,,,,,,03/10,,"O2 (LGC, 175L, 고압용)",,,,1,,3,"57,000","171,000","17,100","188,100",0,,"188,100",,,,
Z가스코아산(아론),,,,,,,03/19,,입금 (가스매출),,,,0,,0,0,0,0,0,"181,500",,"-181,500",,,,
