거래처,주소,전화번호,팩스번호
가스코아산(대창),경기도 시흥시 공단1대로 391,010-9077-2486,
가스코아산(몰드스틸),경기도 화성시 팔탄면 밤뒤길 92-72,010-3754-2622,
가스코아산(아래스가스),경기도 화성시 효행구 봉담읍 향봉로 128,031-295-6860,031-295-6862
가스코아산(아론),,010-5255-9112,
가스코아산(에스에프에이),경기도 화성시 영천로 38(영천동),,
가스코아산(파라텍1),경기 화성시 반월동 295-3 / 반월길 40번길 66,010-3201-1360,
가스코아산(폴라리스AI파마),,,
가스코아산(하나이엔지),경기도 화성시 우정읍 흥천길 151,010-8783-5016,
가스코아산(한양이엔지),,,
가스코아산(현진산업),경기도 안산시 상록구 팔곡이동 615-5,,
가스코아산(DM특장),,,
가스코아산.,충남 아산시 둔포면 윤보선로 555,041)543-6582,041)543-6584 
가스테크코리아,충북 진천군 진천읍 성중로 215,043-537-1006,043-537-1003
가스텍(고려신소재),인천광역시 남동구 고잔동,032-818-2451,
가스텍(대흥정공),,,
가스텍(미성르호봇),경기 화성 율암리 163,010-4136-3286,
가스텍(인천),인천광역시 서구 북항단지로 86,032-822-3314,032-822-3315
개인판매,,,
경민산업,"경기도 안성시 대덕면 모산로 243, 2동(84-3)",031-653-9223,031-676-9223
고려대한가스,경기도 화성시 팔탄면 안산동길 61,031-354-3399,
고려산업가스,울산광역시 울주군 온산읍 화산리 1218-3,,
공도(한일가스충전소),,,
공도.,경기 화성 향남읍 토성로 330-11,031-233-2628,232-6315
공성기계,"경기도 화성시 팔탄면 버들로 1362번길 15-27, 에이동, 비동",010-9435-1352,02-2060-1356
광양종합가스(주),전남 광양시 산업로 25 (태인동),061-792-0128,061-792-2568
국제산업가스,경기 안양시 동안구 시민대로 95(호계동),031-452-1533,031-429-9458
금성종합가스,"경기 시흥시 오이도로 22-29 (정왕동,시화공단1다1001호)","031-431-6408,494-1122",031-431-6409
나주신일가스(주),전라남도 나주시 동수농공단지길 124(운곡동),061-335-9955~7,061-335-6888
다올이앤씨 주식회사,"서울특별시 강동구 상일로6길 51(상일동,다올빌딩 9층,10층)",043-878-4545~6,043-878-4554
단일시스켐,경기 화성 정남면 귀래리 449-14,031-378-0288,031-378-0289
단일시스켐(음성),충청북도 음성군 음성읍 한불로69번길 12-7,010-5087-7889,
대광가스.,경기도 화성시 남양읍 현대기아로 595,010-4210-3755,031-353-5981
대성가스텍,경기 화성 향남읍 동오리 76-2,031-359-8060~2,031-359-8063
대성스틸,"경기도 화성시 마도면 청원산단로 178, 160",031-366-9723,031-366-7144
대성플랜트,전곡산단11길 78,031-357-4031,031-357-4021
대승산업가스,경기도 안성시 서운면 송정리 151-1,031-675-3400,031-675-3410
대영가스상사,경기도 화성시 향남읍 장짐리 303-4,031-353-2885,031-353-5548
대진에스에이,경기도 화성시 팔탄면 석포로 68-39 (서근리1-92),010-2074-3154,031-359-9024
